iata_code,avg_temperature,avg_precipitation,avg_wind_speed
ABE,10.90164383561644,3.446931506849315,10.520547945205479
ABI,17.79123287671233,1.8896986301369862,16.836986301369862
ABQ,13.581917808219178,1.2535616438356165,9.352328767123288
ABR,6.876986301369864,1.8153698630136983,14.87205479452055
ABY,19.4172602739726,2.849150684931507,10.47698630136986
ACT,18.95178082191781,1.9903835616438357,14.298082191780823
ACV,11.9813698630137,4.267671232876713,10.189041095890412
ACY,13.76904109589041,2.5917260273972604,14.914794520547945
AEX,19.780547945205477,2.4949041095890414,9.987671232876712
AGS,18.52219178082192,2.8885205479452054,10.405479452054795
ALB,8.92986301369863,3.446027397260274,9.67123287671233
AMA,14.218082191780823,1.4561369863013698,17.9413698630137
ASE,4.207397260273972,2.1066027397260276,6.985205479452055
ATL,16.93123287671233,2.782082191780822,11.032602739726027
ATW,7.9928767123287665,2.5362739726027392,14.736164383561643
AUS,19.874520547945206,1.7527671232876711,13.203561643835616
AVL,13.154794520547945,2.618794520547945,8.083561643835617
AVP,9.743561643835617,3.537205479452055,11.313972602739724
AZO,9.406027397260273,2.9866849315068498,12.575616438356162
BKG,13.964657534246577,2.4846849315068495,10.56082191780822
BDL,10.50931506849315,3.989452054794521,10.661369863013698
BFL,18.531780821917806,0.719013698630137,5.717808219178083
BGM,7.518904109589043,3.2986575342465754,11.46986301369863
BGR,7.927671232876714,3.0002739726027396,11.540547945205477
BHM,17.59232876712329,2.922794520547945,9.773972602739725
BIL,7.922191780821918,1.3623561643835616,10.688493150684932
BIS,6.301095890410959,1.375041095890411,15.778904109589039
BLI,10.106027397260274,4.57772602739726,9.104657534246575
BMI,10.96876712328767,2.793095890410959,14.474520547945206
BNA,15.527123287671232,2.90186301369863,9.71013698630137
BOI,11.54931506849315,1.128931506849315,10.621095890410958
BOS,11.004383561643836,3.8250410958904113,14.301369863013699
BQK,20.12246575342466,2.8900821917808224,13.216986301369863
BRO,23.32383561643836,1.2756438356164383,18.474246575342466
BTM,4.385753424657534,1.5946027397260274,8.062465753424657
BTR,19.92082191780822,2.9108493150684933,10.043287671232877
BTV,7.71041095890411,2.588986301369863,9.843287671232877
BUF,9.276986301369863,2.5323835616438353,13.858630136986301
BUR,17.978904109589042,1.1086027397260274,6.724931506849316
BWI,13.838630136986302,2.7014246575342464,11.440547945205477
BZN,6.068493150684931,1.6585205479452054,7.36082191780822
CAE,18.17068493150685,3.047013698630137,10.287945205479453
CAK,10.24027397260274,3.3866849315068497,12.096164383561645
CDC,11.331506849315069,1.0621917808219177,8.886301369863014
CEC,12.725753424657533,5.1273698630136995,13.454520547945204
CHA,15.957808219178084,2.8432602739726027,8.20986301369863
CHO,13.766575342465753,2.85986301369863,8.08027397260274
CHS,18.98,3.3944657534246576,10.60219178082192
CIC,17.02849315068493,3.3851232876712327,9.639726027397261
CID,9.092054794520548,2.903698630136986,15.310958904109588
CLE,10.794794520547944,3.0704109589041093,15.490958904109586
CLL,19.695616438356165,2.0715616438356164,12.983287671232876
CLT,16.326301369863014,2.777150684931507,9.52027397260274
CMH,11.612602739726029,2.9973424657534244,12.106849315068493
CMI,11.613698630136986,2.651068493150685,14.203287671232877
CMX,5.729863013698631,2.4176164383561645,12.352602739726027
COD,6.359452054794521,1.1135616438356162,7.793150684931507
COS,7.935342465753424,1.7363013698630136,8.269589041095893
COU,12.640821917808218,3.095890410958904,11.08109589041096
CPR,7.4391780821917814,0.7818082191780821,14.486575342465752
CRP,21.818356164383562,1.5794794520547946,15.509863013698629
CLD,17.28958904109589,1.0146301369863016,6.7715068493150685
CRW,13.106849315068493,3.4036712328767127,9.993698630136986
CSG,18.457808219178084,2.759917808219178,9.636438356164383
CVG,12.87095890410959,2.6244383561643834,10.412328767123288
CWA,7.0161643835616445,2.9183561643835616,12.607123287671234
CYS,7.923287671232877,1.2877260273972604,17.196164383561644
DAB,21.865205479452055,2.4755342465753425,11.483561643835616
DAL,18.546575342465754,2.1494520547945206,14.463835616438354
DAY,11.147945205479452,2.921150684931507,12.570410958904109
DBQ,8.692876712328767,2.7347671232876714,12.767397260273974
DCA,14.340547945205477,2.5705479452054796,10.42109589041096
DEN,9.481369863013699,1.3098356164383562,9.703561643835616
DFW,18.216712328767123,2.134109589041096,14.586849315068495
DHN,19.136164383561646,3.1513698630136986,10.531232876712327
DLH,4.670410958904109,2.9406849315068495,14.13013698630137
DRO,6.931506849315069,1.8948219178082193,7.730684931506849
DSM,9.74109589041096,2.485178082191781,15.406849315068493
DTW,9.837260273972603,2.5945753424657534,14.45835616438356
EAU,7.359452054794521,2.7724657534246573,12.258356164383562
ECP,20.093698630136984,3.4331506849315065,13.885205479452056
EGE,7.310684931506849,1.8686849315068492,6.219178082191781
EKO,9.693972602739725,1.4055890410958902,8.936712328767124
ELM,9.045753424657535,2.933068493150685,11.252876712328767
ELP,17.356712328767124,0.839041095890411,11.364109589041094
ERI,10.359452054794522,3.3527671232876712,15.001095890410959
EUG,11.623013698630139,3.7562739726027394,7.376438356164384
EVV,14.386301369863014,2.6285753424657536,11.116712328767122
EWN,17.32958904109589,4.14241095890411,10.780547945205479
EWR,12.423561643835617,3.457780821917808,11.354520547945206
